Year,State,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,Sheltered_Cnt,Unsheltered_Cnt,Other_Cnt
2007,AK,1800616,1938755,1679,9625,9420,9953,10092,77676,42049,131029,2995,567,3562
2007,AL,7069040,7196459,3592,55972,57795,58792,46200,466414,216941,742919,8075,3822,11897
2007,AR,4415981,4779308,12795,38192,35710,35944,30708,288518,138921,479016,4979,3545,8524
2007,AZ,8724434,8709531,15854,86742,82876,81196,76275,668290,316376,1087447,17886,14210,32096
2007,CA,72516936,73225422,68002,454743,467305,490054,468281,3801685,2011865,6343471,102972,215341,318313
2007,CO,7689014,8039146,25649,61576,59449,58396,55334,478501,236141,801867,14346,16154,30500
2007,CT,8913149,8685421,14180,39889,42488,43670,40927,339965,176592,570626,7938,2049,9987
2007,DC,1148358,1140506,7146,5306,4807,5182,4002,40295,20242,78422,11399,1001,12400
2007,DE,1694929,1705204,583,8817,9085,10176,7681,75619,37555,122574,1784,488,2272
2007,FL,28898362,29849892,46917,197467,195859,193970,169832,1611475,810952,2666811,42900,60701,103601
2007,GA,17755989,17389530,39908,129791,125404,124544,95443,1008878,471012,1649589,17790,23972,41762
2007,HI,2985593,2199604,1531,15042,13652,13420,11234,108882,54246,179897,5556,7362,12918
2007,IA,5194536,5198975,12487,37819,34590,36040,39114,279198,155611,485115,5107,668,5775
2007,ID,2011951,1960472,2880,21295,20658,20557,18598,166996,80948,272119,2287,1306,3593
2007,IL,23897153,23401917,77843,145755,152895,161310,144342,1249311,639896,2112805,25776,7879,33655
2007,IN,10458932,11462062,10755,75445,78204,80850,71755,643350,317214,1046764,12642,2768,15410
2007,KS,5038100,4823931,13477,35471,34383,34572,33149,276250,140893,468295,3505,479,3984
2007,KY,6226696,6351636,17985,49986,49250,49723,41958,401215,196772,666225,12231,4465,16696
2007,LA,7048732,6657341,26631,53062,56201,51355,37806,419856,181489,681038,8060,3490,11550
2007,MA,14407777,14315518,25853,67900,71443,73318,68757,572523,296032,962958,29482,3562,33044
2007,MD,11674965,11541225,27179,59455,60281,65088,61767,489845,269221,845700,13585,7221,20806
2007,ME,2538161,2501127,2635,13710,14238,15334,16322,114397,65503,196245,5219,154,5373
2007,MI,20576110,19839838,27207,125592,118931,126608,126380,970882,549291,1692739,24031,35275,59306
2007,MN,9693509,10030105,12795,60140,59431,63189,74749,485245,279398,837578,12723,3337,16060
2007,MO,8908844,9245525,22691,67314,67996,68636,65443,541741,285442,917188,11461,2651,14112
2007,MS,4220926,4158733,2805,38662,37274,37948,27688,306944,137033,494122,1871,1476,3347
2007,MT,1474306,1442434,539,10601,10503,11180,11057,85165,46448,142823,1745,638,2383
2007,NC,13063307,12794086,16927,120998,115076,114543,85893,934399,417168,1489492,16604,8645,25249
2007,ND,1045678,1042175,909,6730,6935,7472,7662,55853,31567,95059,1225,127,1352
2007,NE,3234014,3117931,10091,22588,20519,21047,22400,167416,91149,291244,6500,1347,7847
2007,NH,2600123,2608190,2614,10489,15026,16218,15959,121256,66413,200772,2809,2054,4863
2007,NJ,25293076,25572112,28540,91115,98195,100884,97078,794703,411332,1382348,31254,5899,37153
2007,NM,3272953,3279467,5378,25796,24452,25063,19594,198544,99322,329040,3741,3000,6741
2007,NV,4006081,4346371,2834,31682,33760,34121,21828,271876,121752,429362,9827,8328,18155
2007,NY,50762544,51253984,48561,184672,191647,205135,185680,1571259,852342,2765435,116975,14703,131678
2007,OH,22142424,21336580,32815,130889,132634,139939,134417,1077618,585862,1827184,20361,4475,24836
2007,OK,5491931,5505213,35270,49306,46787,45831,39321,375505,178400,642065,6573,2648,9221
2007,OR,5648586,5634955,1310,39820,42750,43018,45559,341853,181719,565586,17745,20264,38009
2007,PA,25334577,25627083,12490,122769,129837,143406,139930,1069191,595727,1801971,30396,3633,34029
2007,RI,2100679,2082332,1770,9840,11028,12098,10848,87549,48470,147629,2736,142,2878
2007,SC,7130274,7660995,22812,52314,52715,54067,39459,429440,207751,712317,6539,5354,11893
2007,SD,1136570,1096568,1335,9688,8935,9248,8901,72401,38182,121606,1155,107,1262
